study_id,pubmed_id
7477,
2148,27354908.0
7419,19195429.0
8977,
8748,
9570,35772627.0
7242,32098487.0
4474,36876583.0
6884,37574600.0
8187,34852736.0
1042,
6664,
2411,
9196,16191719.0
5600,37732856.0
1434,35940087.0
7467,35975555.0
2957,29668918.0
1524,36405923.0
5635,29178663.0
3866,
9556,35750094.0
4728,36481228.0
120,32861983.0
276,26275358.0
9564,36173064.0
1824,36889160.0
2415,
401,
6234,
5743,36271352.0
9566,
6850,25347227.0
8908,12691207.0
9006,36862862.0
692,34563973.0
8798,33307338.0
9332,26137324.0
5597,31941394.0
4521,
1659,35822534.0
2887,25389218.0
7453,29288686.0
7591,26440233.0
8599,26489663.0
5797,
8847,24684390.0
6240,
1352,33884324.0
6360,29039254.0
5315,34915762.0
9602,32621379.0
9501,30369433.0
1401,
1283,29030624.0
1543,32479321.0
8414,
141,
5136,33074143.0
9467,18499623.0
1925,24434008.0
1615,33787963.0
2017,
6190,
1796,
6093,
3354,35172727.0
9126,24740469.0
6749,33487513.0
7264,
4276,36536916.0
6213,
7895,32554207.0
8616,37256163.0
5171,27046644.0
7491,37335211.0
6271,
7263,30077114.0
2124,31586838.0
9242,37259323.0
6183,
953,35749277.0
6007,
7061,
519,
4350,34658861.0
2822,27886522.0
5483,34189985.0
5071,17115871.0
3783,24097374.0
7767,37004409.0
9244,31680600.0
8681,33694031.0
8732,
1597,29699723.0
4650,28735368.0
9579,35568275.0
7338,37838755.0
3603,27986606.0
7746,
7258,37953937.0
6748,32255395.0
8746,27929610.0
6440,
7761,29377404.0
6438,
8178,
75,30999057.0
2229,11377920.0
5988,37167563.0
2207,37270621.0
8910,10367553.0
8692,
85,12681371.0
7535,
8801,37223704.0
8220,32895801.0
790,
3277,
2861,33611977.0
8102,30965131.0
6316,32700023.0
8166,36275302.0
1645,16754834.0
8763,32931403.0
7048,
1277,24495461.0
717,19680634.0
7047,
2143,21842159.0
2152,34166299.0
2245,
3537,33309459.0
2153,35107855.0
2761,16228196.0
4651,
8100,31649304.0
5804,16896964.0
4899,26821769.0
2186,23337947.0
8059,36713926.0
5482,35355714.0
7961,21109365.0
9509,37146908.0
3183,
6574,25806551.0
2547,33221932.0
1879,37734158.0
7064,29555857.0
7964,36433778.0
6115,
2307,15621365.0
2209,32699231.0
6050,
8957,28635375.0
8963,
5188,21956378.0
5870,29560311.0
3328,21062637.0
7822,31814488.0
6105,
8970,28195139.0
1291,23540908.0
5871,33219313.0
8477,24114426.0
1255,29116367.0
4389,26390148.0
4911,
624,30849288.0
7753,28967351.0
6160,
7089,34440508.0
4422,37818448.0
8966,37094657.0
7611,28525587.0
4459,22578254.0
4353,
7679,23049758.0
2879,
5923,
7311,11292011.0
6443,
5317,
2402,
1843,15336517.0
8538,16510479.0
9455,
8956,
8457,11714594.0
8259,33501857.0
3604,27578365.0
9032,24728603.0
5457,10591869.0
5873,28940312.0
8257,
5267,34267683.0
7052,
5070,20693876.0
8483,21616979.0
9503,37608057.0
9235,16714323.0
9119,
5815,
4506,29167644.0
8809,14533132.0
2062,30953835.0
1744,
7545,
1808,29309770.0
3427,18635693.0
1081,28353056.0
8466,23490576.0
8741,22808116.0
9149,34253268.0
3008,37484678.0
4642,26907605.0
7363,26966023.0
